  0.000000000  0.000000000  0.000000000      12
       1       1  -39.418352300  -49.522664182
       1       2  -19.172424533  -25.097854961
       1       3    0.314145087   -3.060638188
       1       4    0.314146956   -3.060636318
       1       5    0.314149707   -3.060633568
       1       6    8.972790916   10.766112762
       1       7   23.528405483   26.504995544
       1       8   23.528407257   26.504997318
       1       9   23.528408934   26.504998995
       1      10   24.085097636   26.255212449
       1      11   24.085098089   26.255212902
       1      12   24.085098997   26.255213810
 -0.000000000 -0.000000000  0.250000000      12
       1       1  -39.387180751  -49.503361956
       1       2  -18.967689481  -24.849110199
       1       3   -1.038336129   -4.636525383
       1       4    0.196485396   -3.204576115
       1       5    0.196487508   -3.204574003
       1       6   10.205595515   12.160861339
       1       7   17.692182569   20.081462255
       1       8   20.240320680   22.842430521
       1       9   20.240323164   22.842433005
       1      10   26.635840490   29.161544678
       1      11   27.212404496   29.580047926
       1      12   27.212405688   29.580049118
 -0.000000000 -0.000000000  0.500000000      12
       1       1  -39.355087717  -49.559470025
       1       2  -18.747111503  -24.589527093
       1       3   -2.172936598   -5.989871574
       1       4    0.094873489   -3.336620568
       1       5    0.094875562   -3.336618496
       1       6   10.627235346   12.580541388
       1       7   16.470240646   19.156315514
       1       8   18.619328533   21.124909658
       1       9   18.619331192   21.124912317
       1      10   30.059407530   32.443728863
       1      11   30.557350145   33.213624295
       1      12   30.557350568   33.213624717
 -0.000000000 -0.000000000  0.750000000      12
       1       1  -39.387180751  -49.503061211
       1       2  -18.967689481  -24.848219874
       1       3   -1.038336129   -4.643124428
       1       4    0.196485397   -3.205273905
       1       5    0.196487507   -3.205271795
       1       6   10.205595516   12.163742817
       1       7   17.692182569   20.087612638
       1       8   20.240320685   22.840140757
       1       9   20.240323159   22.840143232
       1      10   26.635840490   29.162001506
       1      11   27.212404502   29.584145749
       1      12   27.212405685   29.584146933
  0.000000000  0.250000000  0.000000000      12
       1       1  -39.387180749  -49.503699364
       1       2  -18.967689527  -24.848984412
       1       3   -1.038334731   -4.636413705
       1       4    0.196483783   -3.204575282
       1       5    0.196487912   -3.204571153
       1       6   10.205594924   12.161125923
       1       7   17.692183211   20.081241540
       1       8   20.240320790   22.842573121
       1       9   20.240322358   22.842574689
       1      10   26.635839863   29.161560928
       1      11   27.212404899   29.579746850
       1      12   27.212406710   29.579748661
  0.000000000  0.250000000  0.250000000      12
       1       1  -39.376749930  -49.530016530
       1       2  -18.870816316  -24.737817087
       1       3   -1.099416951   -4.667524961
       1       4   -0.187276426   -3.652141544
       1       5   -0.187272456   -3.652137575
       1       6   11.257633144   13.364619458
       1       7   18.560622233   20.477264199
       1       8   19.452243175   21.954310794
       1       9   20.271455172   23.031097483
       1      10   20.271456639   23.031098950
       1      11   32.609787453   35.223493203
